#{"t_start": 1765962115.260354, "env_id": "ALE/Breakout-v5"}
r,l,t
3.0,292,3.586761
2.0,233,4.24883
2.0,224,4.915673
4.0,298,5.901274
1.0,199,6.4778
2.0,226,7.19414
3.0,252,7.982556
3.0,298,8.985363
1.0,205,9.673194
3.0,304,10.73157
0.0,144,11.16003
2.0,255,12.064575
3.0,277,13.118221
1.0,204,13.796508
1.0,220,14.428697
3.0,273,15.695712
1.0,208,16.884379
1.0,194,17.751976
0.0,151,18.454593
1.0,201,19.427109
0.0,161,19.97515
2.0,239,20.926402
2.0,248,21.842911
2.0,245,22.656488
1.0,189,23.297071
2.0,259,24.259386
2.0,254,25.172942
2.0,261,26.150818
1.0,203,26.853547
0.0,165,27.386411
1.0,173,27.964187
0.0,182,28.586851
2.0,233,29.397872
1.0,195,30.039057
2.0,267,31.05751
1.0,188,31.76672
2.0,245,32.680809
3.0,318,33.825497
1.0,190,34.489572
2.0,260,35.371453
3.0,271,36.469425
1.0,192,37.125195
3.0,282,38.210207
1.0,182,38.817198
4.0,314,40.005612
5.0,345,41.425275
3.0,266,42.445874
1.0,216,43.166517
3.0,299,44.306251
