#{"t_start": 1765962115.3064704, "env_id": "ALE/Breakout-v5"}
r,l,t
4.0,331,3.744266
1.0,195,4.266232
1.0,200,4.804037
2.0,230,5.482961
1.0,195,6.042515
1.0,209,6.659198
3.0,272,7.496368
2.0,221,8.201569
0.0,165,8.60949
2.0,234,9.44353
2.0,248,10.332025
3.0,295,11.379474
2.0,246,12.316547
3.0,289,13.413747
1.0,223,14.12699
0.0,159,14.543277
3.0,278,15.828034
0.0,173,16.691493
2.0,251,17.879703
4.0,324,19.680671
3.0,270,20.759917
1.0,212,21.535121
0.0,156,21.980143
2.0,248,22.830085
2.0,216,23.619556
0.0,180,24.184294
1.0,197,24.83823
3.0,286,25.949339
3.0,293,27.205216
2.0,228,28.163968
0.0,161,28.678789
3.0,270,29.673035
1.0,216,30.462877
5.0,356,32.001662
2.0,252,32.906658
3.0,248,33.823421
3.0,288,34.821047
1.0,190,35.48041
3.0,266,36.542586
1.0,186,37.11552
1.0,187,37.656111
2.0,233,38.44936
2.0,244,39.312393
1.0,216,40.018512
1.0,183,40.670764
2.0,232,41.57198
2.0,228,42.28703
1.0,201,42.972286
2.0,245,43.890168
1.0,196,44.50023
0.0,172,45.022216
